0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


-78.7816,0.479829,-0.18416,0.140291,-0.123591,0.109719,-0.0866304,0.0661241,-0.0505889,0.0408688,-0.0311724,0.0271191,-0.0219552,0.0175786,-0.0162698,0.0131207,-0.0123686,0.0102272,-0.00736137,0.00909952
-50.217,-3.05865,0.783724,0.483405,-1.29484,2.51743,-1.82787,0.586274,0.7616,0.206145,1.13476,-1.30146,0.227143,0.536707,-0.267996,-0.26141,-0.352348,0.340403,0.375181,-0.209573
-48.3676,-3.03601,0.53685,0.0379045,-1.64666,2.18263,-1.86829,0.332754,0.366816,-0.221156,0.948624,-1.55472,0.321139,0.551659,-0.286619,-0.0969827,-0.520572,0.423041,0.221051,-0.251741
-35.1285,-0.00892488,0.651177,-1.76547,0.224872,0.636984,0.536114,0.549519,-1.10184,-0.519815,0.135094,-0.144397,0.431348,0.0940253,-0.278193,-0.120695,-0.381552,0.192317,0.039234,-0.455069
-16.9228,2.66765,0.503936,0.520479,0.305569,0.493782,0.260836,0.266112,0.205001,0.0113832,0.21699,0.176897,0.214785,0.178089,0.163623,-0.00376419,-0.126635,0.146237,0.183472,0.0505564
-17.9597,2.10299,0.538213,0.507581,0.594491,0.833225,0.360951,0.445432,0.187901,0.084072,0.00840431,0.276988,0.181654,0.162402,0.0490935,0.0275931,0.0330606,0.312653,0.198374,0.327135
-19.5807,1.89226,0.55576,0.813129,0.662361,0.624806,0.184229,0.332466,0.00349549,-0.0867705,-0.0497991,0.0753601,0.245463,0.186926,0.00212148,0.141569,0.0943036,-0.0779117,-0.103992,0.109239
-19.8083,3.03698,-0.959211,0.128418,-0.160057,0.733732,0.438607,-0.0598806,-0.145598,0.153603,-0.0809205,0.323332,0.323337,0.263146,0.485948,0.099617,0.505539,0.349862,-0.170916,0.0636685
-10.4329,4.46751,-0.888614,1.0571,-0.747123,-0.022216,-0.298854,-0.279776,-0.736553,-0.126042,-0.372914,0.284249,0.207245,0.349146,0.21113,-0.140396,0.0729876,-0.243182,0.012577,-0.072763
-10.7676,4.62914,-0.931223,1.03064,-0.575663,-0.0981646,-0.541786,-0.552254,-0.649293,0.0245279,-0.256415,0.204163,0.437479,0.282055,0.249889,0.233252,0.103523,-0.0366831,0.392731,-0.104363
-11.2969,4.65803,-1.12019,1.0316,-0.451033,-0.195636,-0.850918,-0.618661,-0.671064,0.107248,-0.322336,0.103568,0.409575,0.202221,0.377251,0.261059,0.175736,-0.0770435,0.309284,-0.121098
-11.6369,4.67039,-1.03947,1.14319,-0.25797,-0.296798,-1.02285,-0.71878,-0.542739,0.271056,-0.367677,0.230362,0.090324,0.165115,0.353686,0.268799,0.263684,-0.0714974,0.150401,-0.136882
-12.0706,4.78447,-1.06108,1.35543,-0.115075,-0.514968,-1.11448,-0.751194,-0.447639,0.441612,-0.389419,0.171442,0.0231628,0.0996578,0.407508,0.351607,0.275565,-0.03706,0.0776028,-0.0809863
-12.3933,4.78588,-1.2318,1.1884,-0.243642,-0.446329,-1.13785,-0.717434,-0.492958,0.374221,-0.515246,0.117201,0.235351,0.177159,0.357461,0.223972,0.429084,-0.0498269,0.285136,-0.0137154
